,Close
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,-0.8446632922493769
101,-0.8297722767818474
102,-0.5377983055127611
103,-0.8407079064231979
104,-0.8210240888911526
105,-0.9766291515030628
106,-1.0760225164541128
107,-1.121083204733151
108,-1.0343878426281234
109,-0.7832465945698179
110,-0.9412219292414209
111,-0.8606151880966799
112,-1.1417571744392232
113,-1.2833919163947671
114,-1.274886062047015
115,-1.1477480712942076
116,-1.179123356291731
117,-1.1012726693239319
118,-0.9985813514381054
119,-0.8238662353072863
120,-0.7409546959179028
121,-0.7865672793281397
122,-0.6321105497621173
123,-0.7260875930896059
